	id	age	gender	engagement	mem.edu	zip	channel	harm	fair	in.group	authority	purity	account.age	region	public.sector	sustainability	localism	main.focal.value	support.of.focal.value
24	435	72	female	Highly Engaged	3		Branch	4.25	4.0	4.25	4.0	3.5	7.518	W WA Non Metro	no	4.0	4.5	Education	4.40092148115167
25	437	43	female	Not Engaged	4		Branch	4.0	3.75	3.0	3.5	3.25	3.184	Thurston	yes	5.0	6.0	Human/Civil rights	4.40092148115167
26	439	39	female	Highly Engaged	4		Branch	4.0	3.75	3.0	3.5	3.25	5.321	W WA Metro	no	5.5	5.0	Human/Civil rights	33.3325325018267
27	440	33	male	Engaged	4		Branch	3.75	4.25	0.5	0.75	1.0	12.068	Thurston	yes	4.0	5.25	Education	100.0
28	441	65	male	Not Engaged	6		Branch	2.5	5.0	2.0	1.5	1.5	3.077	W WA Metro	no	5.16666666666667	6.0	Hunger/Poverty	28.6801365739818
29	442	83	female	Not Engaged	2		Branch	4.25	4.0	2.75	3.5	4.0	26.296	Thurston	no	4.5	5.0	Animal rights	9.12638644880421
30	444	64	male	Highly Engaged	4		Branch	3.0	3.0	3.5	3.5	3.25	37.29	Thurston	yes	4.66666666666667	3.75	Specify	23.0287515212132
31	445	20	female	Engaged	3	98501.0	Branch	4.25	4.5	2.5	2.5	4.5	3.567	Thurston	no	3.83333333333333	3.0	Education	12.4039871944777
32	447	56	female	Engaged	8		Branch	3.5	4.0	2.25	1.25	0.25	25.51	E WA Non Metro	yes	5.16666666666667	5.0	Human/Civil rights	54.1485675042327
33	448	22	female	Engaged	4		Branch	4.0	3.75	3.25	2.75	2.0	4.989	W WA Metro	yes	3.5	4.25	Education	47.3715984233145
34	449	54	female	Engaged	3		Branch	4.5	3.75	3.75	3.75	4.25	2.997	Thurston	yes	5.0	4.25	Environment	10.1121556321612
35	451	35	female	Highly Engaged	4		Branch	4.0	4.5	4.5	4.0	4.0	10.858	Thurston	no	5.0	4.0	Education	0.0
36	452	42	male	Not Engaged	4	98042.0	Branch	3.25	3.75	3.0	1.0	0.5	18.759	W WA Metro	yes	5.33333333333333	4.0	Education	20.0026252222329
37	453	63	female	Highly Engaged	6	98087.0	Branch	4.5	4.5	4.25	3.0	4.0	27.31	W WA Metro	yes	5.66666666666667	4.5	Animal rights	47.2348975742356
38	455	39	male	Not Engaged	2	98951.0	Loan	2.0	4.5	2.5	3.0	3.25	0.663	E WA Non Metro	no	2.5	4.0	Hunger/Poverty	9.12638644880421
39	456	42	female	Engaged	4		Branch	2.75	3.5	2.0	2.75	2.25	0.26	W WA Metro	no	4.0	3.25	Homelessness	0.0
40	458	65	female	Highly Engaged	3		Branch	3.75	5.0	4.25	5.0	5.0	9.573	W WA Metro	yes	2.5	2.25	Education	4.40092148115167
41	459	48	male	Engaged	6		Branch	4.25	4.75	2.75	2.75	2.75	4.296	W WA Metro	yes	4.66666666666667	5.5	Human/Civil rights	49.8321636362235
42	460	68	female	Highly Engaged	4	98569.0	Branch	3.5	4.0	2.75	2.75	3.5	35.463	W WA Non Metro	yes	3.0	4.0	Hunger/Poverty	4.40092148115167
43	461	55	female	Engaged	4	98466.0	Branch	3.5	3.25	2.75	1.75	1.25	23.578	W WA Metro	yes	3.16666666666667	5.25	Arts & culture	28.7399856722228
44	464	49	male	Engaged	4	98117.0	Branch	2.0	3.25	3.0	3.25	1.25	3.43	W WA Metro	no	6.0	5.0	Environment	14.8376205998138
45	465	35	female	Not Engaged	4		Branch	4.5	4.0	3.0	4.0	3.75	1.899	E WA Metro	no	3.83333333333333	5.25	Education	38.9595506153863
46	466	25	male	Not Engaged	3	98026.0	Branch	3.25	3.0	2.0	2.5	2.25	15.258	W WA Metro	no	4.33333333333333	4.0	Health (i.e. cancer research)	9.12638644880421
47	468	26	female	Engaged	4		Branch	3.5	2.75	2.75	1.25	2.0	8.227	Thurston	no	6.0	6.0	Environment	14.8376205998138
48	469	61	female	Engaged	6		Branch	4.5	4.25	2.0	1.5	2.75	24.893	Thurston	yes	5.83333333333333	6.0	Environment	77.8489838128345
49	470	62	male	Engaged	7	99163.0	Branch	4.5	5.0	1.5	1.5	1.25	14.414	E WA Non Metro	yes	5.5	5.0	Human/Civil rights	53.0573757414164
50	473	59	male	Engaged	8		Branch	4.0	5.0	0.75	2.25	2.25	24.595	Thurston	yes	5.83333333333333	6.0	Hunger/Poverty	47.8923711189973
51	474	29	male	Not Engaged	4	98387.0	Loan	3.5	3.5	3.25	4.0	2.25	0.485	W WA Metro	no	4.16666666666667	4.5	Human/Civil rights	0.0
52	476	37	female	Not Engaged	4		Branch	3.0	4.25	2.25	2.5	2.25	3.279	E WA Metro	yes	4.0	4.5	Human/Civil rights	28.2787718955788
53	481	27	other	Not Engaged	4		Loan	3.25	3.0	2.75	3.5	3.0	4.03	Thurston	no	6.0	2.75	Health (i.e. cancer research)	4.72546496765254
54	482	38	female	Engaged	3		Branch	5.0	3.25	3.0	4.0	2.5	6.926	W WA Metro	yes	2.16666666666667	3.5	Health (i.e. cancer research)	9.12638644880421
55	483	46	female	Highly Engaged	8		Branch	4.25	4.25	2.25	3.0	3.5	19.512	W WA Metro	no	4.16666666666667	4.25	Health (i.e. cancer research)	49.0984326505762
56	484	57	male	Highly Engaged	8	98028.0	Branch	3.5	4.25	2.5	1.75	0.25	25.518	W WA Metro	no	4.5	4.25	Environment	14.8376205998138
57	485	54	male	Highly Engaged	4		Branch	3.25	4.5	4.25	4.25	3.5	10.337	W WA Metro	no	4.16666666666667	4.0	Hunger/Poverty	21.0614634453976
58	486	58	female	Engaged	6		Branch	4.75	5.0	2.5	3.75	4.0	8.268	Thurston	yes	3.33333333333333	4.75	Human/Civil rights	16.7450595773884
59	487	59	male	Engaged	3		Branch	3.75	3.75	3.75	3.75	2.0	29.94	Thurston	yes	3.83333333333333	4.25	Domestic abuse	4.40092148115167
60	488	58	female	Not Engaged	4	98506.0	Branch	4.5	4.5	1.75	2.25	1.5	18.682	Thurston	yes	6.0	6.0	Human/Civil rights	39.5563753474104
61	490	28	other	Highly Engaged	4	99205.0	Branch	3.0	3.5	3.5	3.25	0.75	11.822	E WA Metro	no	2.83333333333333	3.0	Education	18.9332645397329
62	491	75	male	Engaged	6	99003.0	Branch	4.25	4.0	3.25	2.75	3.75	25.814	E WA Metro	yes	5.66666666666667	5.75	Environment	21.0614634453976
63	492	66	female	Engaged	2		Branch	5.0	3.25	4.25	4.75	3.0	3.362	Thurston	no	4.0	3.25	Health (i.e. cancer research)	16.7450595773884
64	493	80	male	Engaged	3	98501.0	Branch	5.0	5.0	5.0	4.75	5.0	0.97	Thurston	no	2.66666666666667	5.5	Homelessness	37.5647203323858
65	494	43	female	Highly Engaged	4		Other	3.25	3.5	2.0	3.25	3.75	1.301	W WA Non Metro	yes	3.16666666666667	4.25	Domestic abuse	0.0
66	495	56	female	Highly Engaged	8	98466.0	Branch	2.75	3.25	2.25	1.5	1.5	22.542	W WA Metro	yes	5.5	4.25	Environment	22.456293728398
67	497	64	female	Highly Engaged	5		Branch	4.25	4.0	3.5	2.25	2.5	16.397	W WA Metro	yes	5.5	5.25	Homelessness	22.456293728398
68	498	30	female	Highly Engaged	3	99159.0	Branch	3.5	2.0	2.25	3.0	3.25	23.962	E WA Non Metro	yes	2.33333333333333	3.75	Animal rights	4.72546496765254
69	499	56	female	Engaged	4		Branch	3.0	3.25	1.75	2.0	0.5	7.285	W WA Metro	yes	4.83333333333333	4.25	Environment	6.22384284558378
70	501	18	female	Not Engaged	4		Branch	2.75	2.5	3.0	2.0	3.0	0.356	W WA Metro	no	3.33333333333333	4.0	Education	22.456293728398
71	503	39	male	Not Engaged	6		Branch	4.5	4.0	3.0	3.25	3.75	3.479	Thurston	yes	6.0	5.5	Environment	22.456293728398
72	504	25	female	Highly Engaged	3		Branch	4.75	2.5	0.0	1.75	2.25	11.277	Thurston	no	5.66666666666667	5.5	Environment	5.71123415100957
73	505	68	female	Highly Engaged	6		Branch	3.75	3.25	0.75	0.75	0.25	22.195	Thurston	yes	5.16666666666667	5.75	Human/Civil rights	10.1121556321612
74	506	48	male	Highly Engaged	4		Branch	4.5	4.0	3.25	4.0	4.5	10.301	Thurston	no	5.16666666666667	4.25	Environment	9.12638644880421
75	508	27	female	Highly Engaged	4		Branch	3.0	3.0	2.5	2.0	3.25	8.573	W WA Metro	no	4.16666666666667	4.25	Education	4.72546496765254
76	509	46	female	Not Engaged	4		Loan	4.75	4.75	2.25	2.0	3.75	0.778	Thurston	yes	5.5	6.0	Domestic abuse	37.5048712341449
77	512	19	female	Not Engaged	3		Branch	4.5	3.5	1.25	2.25	3.0	6.249	Thurston	no	4.83333333333333	4.25	Human/Civil rights	9.12638644880421
78	514	37	male	Engaged	4	98503.0	Branch	3.0	4.0	2.25	1.5	1.0	29.803	Thurston	no	2.83333333333333	2.0	Environment	0.0
79	516	50	male	Engaged	4		Branch	4.0	4.5	2.75	3.0	2.25	9.279	W WA Metro	yes	4.0	4.75	Human/Civil rights	4.72546496765254
80	517	63	female	Engaged	3	98002.0	Branch	4.25	3.5	3.25	3.25	4.0	35.104	W WA Metro	yes	4.0	3.75	Law enforcement	28.2787718955788
81	518	40	female	Engaged	4		Branch	4.0	4.25	2.75	3.75	3.25	19.255	W WA Metro	yes	4.5	4.25	Health (i.e. cancer research)	0.0
82	520	54	male	Engaged	6		Branch	3.25	3.0	3.75	3.25	3.0	7.586	W WA Metro	yes	2.83333333333333	4.0	Health (i.e. cancer research)	22.1584766449258
83	522	61	female	Engaged	4	98645.0	Branch	2.75	2.75	3.0	2.0	2.25	24.26	W WA Non Metro	yes	4.66666666666667	5.0	Environment	10.1121556321612
84	523	68	male	Engaged	5	98380.0	Branch	4.75	2.75	4.5	3.75	3.75	24.474	W WA Non Metro	yes	4.33333333333333	3.5	Animal rights	31.3372517342106
85	524	67	female	Not Engaged	3		Branch	5.0	4.75	4.5	4.0	3.0	2.041	E WA Non Metro	yes	3.83333333333333	6.0	Human/Civil rights	100.0
86	526	73	male	Highly Engaged	4		Branch	3.5	4.25	2.5	2.5	3.75	7.068	Thurston	no	4.33333333333333	4.25	Human/Civil rights	0.0
87	527	70	male	Highly Engaged	4	98584.0	Branch	3.25	4.25	4.25	3.5	1.5	17.518	W WA Non Metro	yes	2.83333333333333	3.25	Health (i.e. cancer research)	50.4694881524176
88	528	49	male	Highly Engaged	2		Branch	3.5	4.25	4.5	4.25	3.75	10.386	W WA Metro	yes	5.0	4.75	Education	14.8376205998138
89	531	77	male	Engaged	4		Branch	3.0	5.0	1.75	2.5	1.5	34.559	Thurston	yes	4.83333333333333	5.75	Human/Civil rights	82.1256876111703
90	532	35	male	Not Engaged	2	98502.0	Branch	3.5	3.0	3.25	2.75	2.5	0.384	Thurston	no	4.16666666666667	4.0	Homelessness	0.0
91	533	36	male	Engaged	3		Other	4.25	4.0	3.5	2.25	2.0	2.041	Thurston	yes	4.5	5.5	Education	33.3325325018267
92	535	61	male	Not Engaged	3	98589.0	Branch	3.75	4.0	3.0	2.0	2.25	29.438	Thurston	yes	4.66666666666667	5.75	Education	22.516142826639
93	536	59	female	Engaged	5		Branch	5.0	5.0	4.75	4.75	4.5	0.748	W WA Metro	no	6.0	4.75	Homelessness	57.4905368344811
94	538	57	female	Not Engaged	6		Other	4.25	2.75	3.0	2.75	2.5	1.479	E WA Non Metro	yes	4.66666666666667	4.25	Hunger/Poverty	19.7740424733994
95	540	46	female	Engaged	3		Branch	3.5	2.5	4.0	3.25	3.25	23.652	W WA Metro	no	4.16666666666667	3.75	Law enforcement	22.9689024229722
96	541	41	female	Engaged	4		Branch	4.25	3.5	3.25	3.5	2.0	11.362	W WA Metro	no	6.0	6.0	Homelessness	33.3325325018267
97	542	68	male	Not Engaged	6	98506.0	Branch	4.0	3.5	3.0	1.75	2.5	18.929	Thurston	yes	5.16666666666667	6.0	Specify	69.9713757797968
98	543	70	male	Not Engaged	3	98632.0	Loan	3.25	4.0	4.25	3.75	4.25	0.068	W WA Non Metro	yes	2.66666666666667	4.25	Law enforcement	14.8376205998138
99	544	71	male	Not Engaged	6	98902.0	Branch	3.75	4.0	2.75	0.5	2.5	3.934	E WA Non Metro	yes	5.16666666666667	5.0	Human/Civil rights	9.12638644880421
100	545	63	male	Not Engaged	4	98501.0	Branch	4.25	3.75	4.75	3.25	2.75	38.71	Thurston	yes	1.66666666666667	2.5	Hunger/Poverty	10.6247643267355
101	546	37	male	Highly Engaged	3	98501.0	Other	5.0	4.75	2.5	2.25	2.5	1.825	Thurston	no	4.83333333333333	6.0	Animal rights	22.456293728398
102	549	32	female	Highly Engaged	6		Loan	4.25	3.75	3.0	1.75	2.0	1.477	E WA Non Metro	yes	2.66666666666667	5.0	Education	14.8376205998138
103	550	64	female	Engaged	6		Branch	4.75	3.25	2.0	2.25	2.0	42.855	Thurston	yes	5.33333333333333	6.0	Hunger/Poverty	22.456293728398
104	551	41	female	Engaged	4	98513.0	Branch	3.25	3.0	2.25	1.75	3.25	20.348	Thurston	no	4.83333333333333	4.0	Health (i.e. cancer research)	0.0
105	552	51	female	Highly Engaged	3		Branch	4.5	4.25	3.75	3.25	3.5	25.937	Thurston	no	3.66666666666667	4.25	Specify	0.0
106	553	44	other	Not Engaged	4		Branch	3.75	3.25	3.75	4.25	4.0	6.786	W WA Metro	yes	3.83333333333333	2.0	Hunger/Poverty	9.12638644880421
107	554	69	male	Not Engaged	6		Branch	2.0	4.5	2.75	1.0	1.75	29.995	Thurston	yes	4.66666666666667	5.0	Environment	21.0614634453976
108	555	25	female	Not Engaged	4	99163.0	Branch	4.5	5.0	3.5	3.5	3.75	3.397	E WA Non Metro	yes	3.83333333333333	5.0	Education	28.7399856722228
109	557	60	male	Engaged	6		Branch	3.75	3.0	2.5	2.75	2.75	31.011	W WA Metro	no	5.0	4.75	Environment	52.0970633909671
110	565	69	male	Highly Engaged	5	99224.0	Branch	4.0	4.25	3.75	3.5	4.0	29.849	E WA Metro	yes	3.5	4.0	Law enforcement	4.40092148115167
111	566	61	female	Highly Engaged	3		Branch	4.75	3.75	4.75	2.5	3.25	25.263	E WA Metro	no	3.83333333333333	6.0	Hunger/Poverty	45.1833934609701
112	567	70	male	Engaged	4	98105.0	Branch	3.5	3.25	2.75	3.75	3.25	39.874	W WA Metro	yes	3.0	5.0	Environment	24.6444986907425
113	569	44	female	Not Engaged	4		Branch	3.5	3.5	3.25	3.25	3.5	2.375	W WA Metro	no	4.16666666666667	4.5	Health (i.e. cancer research)	0.0
114	573	30	female	Engaged	2		Branch	4.75	5.0	4.5	1.75	2.25	3.723	W WA Metro	no	3.16666666666667	3.25	Domestic abuse	12.3441380962368
115	574	55	female	Not Engaged	8		Branch	3.0	3.5	1.75	2.25	1.0	21.682	W WA Metro	yes	6.0	6.0	Environment	63.6307757091574
116	575	40	female	Highly Engaged	4		Branch	5.0	4.75	2.25	2.0	2.5	6.395	E WA Non Metro	no	5.66666666666667	6.0	Human/Civil rights	15.350229294388
117	577	33	female	Highly Engaged	4		Loan	4.25	2.25	3.75	3.75	4.75	1.595	Thurston	no	4.66666666666667	5.0	Education	18.0553722472463
118	579	72	male	Engaged	6		Branch	4.0	4.25	2.25	1.75	2.75	25.94	W WA Metro	yes	5.66666666666667	5.5	Environment	26.3713329180041
119	581	45	male	Engaged	6		Branch	4.25	5.0	2.75	2.5	1.75	19.86	W WA Metro	yes	4.66666666666667	5.0	Environment	4.40092148115167
120	582	39	male	Not Engaged	2	99201.0	Branch	5.0	5.0	5.0	5.0	5.0	1.315	E WA Metro	no	5.5	5.25	Environment	14.8376205998138
121	583	65	female	Highly Engaged	3		Branch	5.0	4.5	3.5	4.0	4.75	6.901	E WA Non Metro	no	3.0	4.5	Law enforcement	23.0287515212132
122	587	39	male	Engaged	3		Branch	4.25	4.25	3.25	3.5	3.25	1.929	W WA Metro	yes	2.66666666666667	4.0	Law enforcement	20.0026252222329
123	588	30	female	Not Engaged	4		Loan	4.5	3.0	3.25	1.75	2.0	0.863	W WA Metro	no	3.0	3.5	Education	9.12638644880421
124	590	72	female	Highly Engaged	3	98512.0	Branch	4.5	3.75	0.5	0.75	0.0	9.485	Thurston	yes	5.33333333333333	5.25	Human/Civil rights	16.7450595773884
125	591	68	male	Not Engaged	5		Branch	5.0	4.25	1.5	3.0	1.25	5.151	Thurston	yes	5.0	5.75	Homelessness	16.8049086756294
126	592	60	female	Highly Engaged	3	98531.0	Branch	4.5	4.5	4.25	3.75	4.0	9.616	W WA Non Metro	no	4.66666666666667	4.0	Education	16.8049086756294
127	594	39	male	Highly Engaged	4	98908.0	Other	4.5	3.5	3.25	3.25	3.5	1.047	E WA Non Metro	no	3.16666666666667	1.0	Health (i.e. cancer research)	4.72546496765254
128	595	46	male	Engaged	4	98321.0	Branch	3.25	3.5	2.25	3.0	2.75	33.507	W WA Metro	no	4.33333333333333	4.25	Health (i.e. cancer research)	10.6247643267355
129	596	21	female	Highly Engaged	3		Branch	5.0	3.5	2.75	3.25	3.25	7.375	W WA Metro	no	5.83333333333333	6.0	Environment	36.358658800807
130	597	63	female	Highly Engaged	3	99223.0	Branch	3.75	4.75	3.25	3.0	3.5	10.786	E WA Metro	no	5.16666666666667	6.0	Human/Civil rights	14.8376205998138
131	600	68	female	Highly Engaged	6	98516.0	Branch	4.5	4.25	2.25	2.5	2.5	26.014	Thurston	yes	5.0	6.0	Human/Civil rights	49.0385835523352
132	601	37	male	Highly Engaged	4		Branch	1.5	1.75	3.5	3.75	2.75	11.274	E WA Non Metro	no	1.0	2.5	Law enforcement	4.40092148115167
133	602	74	female	Not Engaged	6		Loan	4.25	3.75	2.5	2.5	3.0	1.652	W WA Metro	no	3.16666666666667	4.5	Animal rights	0.0
134	603	30	male	Highly Engaged	6		Branch	2.75	3.75	1.5	1.5	1.75	13.501	Thurston	yes	4.83333333333333	4.5	Environment	9.12638644880421
135	604	29	male	Not Engaged	3	98233.0	Loan	2.25	3.25	4.0	3.5	3.25	1.351	W WA Non Metro	no	2.83333333333333	2.5	Law enforcement	9.12638644880421
136	605	45	female	Engaged	7	98117.0	Branch	4.25	4.0	2.25	1.0	1.5	22.312	W WA Metro	no	5.0	5.0	Human/Civil rights	22.456293728398
137	606	62	female	Not Engaged	4		Branch	4.0	4.0	3.5	4.25	2.5	0.485	W WA Metro	yes	4.83333333333333	5.0	Hunger/Poverty	26.6154125191495
138	607	50	male	Highly Engaged	4	98502.0	Branch	4.5	4.25	3.75	2.5	2.25	34.466	Thurston	no	5.0	6.0	Human/Civil rights	22.456293728398
139	608	24	female	Highly Engaged	4	98501.0	Branch	3.0	2.25	2.5	2.25	2.0	23.493	Thurston	no	4.33333333333333	5.0	Human/Civil rights	9.12638644880421
140	609	65	male	Engaged	4	98675.0	Branch	4.25	4.0	4.25	3.75	4.5	39.833	W WA Non Metro	yes	3.0	4.75	Domestic abuse	22.456293728398
141	611	51	female	Not Engaged	4	98034.0	Branch	4.5	4.5	4.25	4.5	3.0	15.729	W WA Metro	no	5.5	4.5	Environment	16.7450595773884
142	612	78	female	Not Engaged	4		Branch	4.0	4.5	2.75	2.5	2.0	36.699	Thurston	no	4.16666666666667	4.25	Environment	18.3032865535607
143	616	76	female	Highly Engaged	7	98177.0	Branch	4.0	3.75	3.75	3.0	2.5	28.874	W WA Metro	yes	3.66666666666667	3.5	Health (i.e. cancer research)	16.8049086756294
144	618	63	female	Not Engaged	3	99224.0	Branch	5.0	5.0	4.25	3.75	4.75	19.811	E WA Metro	yes	5.66666666666667	5.5	Specify	37.5048712341449
145	620	64	female	Highly Engaged	6		Branch	4.5	4.0	3.5	2.5	3.0	11.225	W WA Non Metro	yes	4.66666666666667	4.25	Education	16.8049086756294
146	621	41	male	Engaged	3		Branch	2.0	2.25	2.75	2.0	2.5	16.348	W WA Metro	no	3.16666666666667	4.25	Health (i.e. cancer research)	0.0
147	623	49	female	Engaged	5		Branch	4.25	3.75	3.0	3.0	2.0	3.079	Thurston	yes	5.16666666666667	4.5	Education	34.7466943423079
148	624	85	female	Highly Engaged	2	98512.0	Branch	4.75	5.0	4.5	4.25	4.75	35.778	Thurston	yes	5.16666666666667	6.0	Domestic abuse	63.6307757091574
149	625	60	female	Highly Engaged	3		Branch	4.75	4.5	3.75	4.5	4.0	5.753	W WA Non Metro	yes	5.33333333333333	5.25	Domestic abuse	28.6801365739818
150	626	71	male	Not Engaged	4	98102.0	Branch	3.0	4.75	3.0	3.75	3.5	0.011	W WA Metro	yes	4.16666666666667	4.75	Human/Civil rights	4.40092148115167
151	627	66	male	Not Engaged	3		Loan	4.75	3.75	3.5	3.0	3.5	2.858	W WA Metro	yes	5.16666666666667	4.5	Health (i.e. cancer research)	21.0614634453976
152	628	58	female	Engaged	5		Branch	4.75	4.0	1.0	2.0	3.75	36.732	Thurston	yes	4.66666666666667	6.0	Domestic abuse	49.0385835523352
153	629	59	female	Highly Engaged	3		Branch	4.0	2.0	2.0	3.75	4.5	21.178	Thurston	no	5.16666666666667	5.25	Hunger/Poverty	19.4494989868985
154	630	69	female	Highly Engaged	3		Branch	2.0	1.75	1.75	2.5	2.75	11.512	W WA Metro	yes	3.83333333333333	3.0	Domestic abuse	23.6623552599768
155	632	70	male	Not Engaged	3		Branch	3.5	3.75	2.25	2.25	2.5	47.948	Thurston	yes	4.5	4.25	Education	14.8376205998138
156	633	18	male	Engaged	1		Branch	1.75	3.25	3.25	2.0	2.5	18.09	W WA Non Metro	no	2.83333333333333	4.0	Education	9.12638644880421
157	634	55	female	Highly Engaged	4	98503.0	Branch	4.0	3.0	3.25	3.25	2.75	36.795	Thurston	yes	4.66666666666667	5.5	Environment	26.6117867665581
158	635	59	female	Engaged	2	98027.0	Branch	3.5	4.5	2.0	2.25	3.25	10.474	W WA Metro	yes	4.0	4.25	Homelessness	4.40092148115167
159	636	56	female	Engaged	5	98501.0	Branch	3.25	3.0	3.25	3.0	2.25	0.556	Thurston	no	4.66666666666667	5.0	Homelessness	47.3715984233145
160	639	36	male	Engaged	3		Branch	4.75	4.5	2.25	2.75	1.75	24.0	W WA Metro	no	4.33333333333333	5.25	Education	28.7399856722228
161	642	52	female	Not Engaged	4		Loan	3.25	3.75	3.75	4.25	3.0	2.46	E WA Metro	no	2.5	4.25	Animal rights	14.8376205998138
162	644	31	other	Engaged	3	98502.0	Branch	3.0	3.0	2.25	3.25	2.75	8.31	Thurston	yes	5.0	4.25	Human/Civil rights	4.72546496765254
163	645	62	female	Highly Engaged	3		Branch	4.5	4.0	2.75	3.0	1.25	4.986	W WA Non Metro	no	5.0	4.5	Homelessness	9.12638644880421
164	646	59	male	Highly Engaged	4		Branch	4.0	3.75	3.75	3.5	3.25	17.452	Thurston	yes	4.66666666666667	5.0	Environment	44.866244820017
165	649	42	female	Highly Engaged	7	98133.0	Branch	4.25	4.5	1.75	1.5	2.5	9.326	W WA Metro	yes	4.16666666666667	5.0	Education	23.2203768696654
166	650	55	male	Not Engaged	3		Loan	4.25	4.25	3.25	4.5	3.0	0.008	W WA Metro	no	4.5	5.25	Law enforcement	4.40092148115167
167	651	53	male	Engaged	5		Branch	4.25	4.5	3.75	2.25	4.5	12.408	Thurston	yes	4.0	5.0	Education	43.4714145370166
168	652	55	male	Engaged	3		Branch	3.75	4.25	3.25	2.75	3.0	18.622	W WA Non Metro	no	4.33333333333333	4.75	Education	22.456293728398
169	653	43	male	Engaged	4		Branch	4.25	4.0	3.75	4.25	4.25	10.43	E WA Metro	yes	3.83333333333333	4.25	Law enforcement	28.7399856722228
170	656	60	female	Engaged	5		Branch	4.5	3.75	2.0	2.0	1.75	21.827	W WA Metro	no	4.33333333333333	4.0	Environment	35.957294122404
